admin_id,name,role,email,contact
1,Maria Khan,Coordinator,maria.khan1@hostel.edu.pk,3255614226
2,Imran Butt,Coordinator,imran.butt2@hostel.edu.pk,3442719583
3,Ayesha Iqbal,Manager,ayesha.iqbal3@hostel.edu.pk,3111533224
4,Ayesha Siddiqui,SuperAdmin,ayesha.siddiqui4@hostel.edu.pk,3489478454
5,Zara Raza,SuperAdmin,zara.raza5@hostel.edu.pk,3248038374
6,Waqar Iqbal,Manager,waqar.iqbal6@hostel.edu.pk,3201109031
7,Asma Qureshi,Manager,asma.qureshi7@hostel.edu.pk,3233608513
8,Alishba Malik,SuperAdmin,alishba.malik8@hostel.edu.pk,3167374122
9,Raza Ansari,Coordinator,raza.ansari9@hostel.edu.pk,3125437923
10,Layla Raza,SuperAdmin,layla.raza10@hostel.edu.pk,3157350753
,,,,
