student_id,name,gender,date_of_birth,phone_number,email,,
1,Naveed Khan,Male,18/01/2000,3363790237,naveed.khan201@hostel.edu.pk,,
2,Hira Javed,Female,25/05/2001,3201983738,hira.javed202@hostel.edu.pk,,
3,Junaid Khan,Female,19/05/2003,3288633773,junaid.khan203@hostel.edu.pk,,
4,Asma Raza,Female,04/06/2006,3223597059,asma.raza204@hostel.edu.pk,,
5,Hamza Siddiqui,Male,28/08/1999,3136261415,hamza.siddiqui205@hostel.edu.pk,,
6,Fatima Iqbal,Male,06/05/2004,3421954280,fatima.iqbal206@hostel.edu.pk,,
7,Ayesha Sheikh,Male,08/10/1999,3354946066,ayesha.sheikh207@hostel.edu.pk,,
8,Maria Iqbal,Male,05/10/2001,3362375453,maria.iqbal208@hostel.edu.pk,,
9,Kiran Iqbal,Female,11/11/2004,3235374922,kiran.iqbal209@hostel.edu.pk,,
10,Kashaf Chaudhry,Female,23/12/2001,3293195773,kashaf.chaudhry210@hostel.edu.pk,,
11,Layla Qureshi,Male,07/06/2007,3391156287,layla.qureshi211@hostel.edu.pk,,SS
12,Shazia Iqbal,Male,14/02/2000,3424576135,shazia.iqbal212@hostel.edu.pk,,
13,Faisal Butt,Male,30/11/2002,3335098412,faisal.butt213@hostel.edu.pk,,
14,Hamza Sheikh,Female,30/11/2003,3109874152,hamza.sheikh214@hostel.edu.pk,,
15,Sumera Mirza,Male,10/06/2006,3263253031,sumera.mirza215@hostel.edu.pk,,
16,Maria Malik,Male,29/04/2007,3285569244,maria.malik216@hostel.edu.pk,,
17,Babar Siddiqui,Female,18/01/2007,3264415796,babar.siddiqui217@hostel.edu.pk,,
18,Adnan Javed,Male,25/10/2001,3372548511,adnan.javed218@hostel.edu.pk,,
19,Amna Ahmed,Female,15/01/1999,3263194789,amna.ahmed219@hostel.edu.pk,,
20,Omar Baig,Female,09/03/2005,3171162230,omar.baig220@hostel.edu.pk,,
21,Usman Butt,Male,12/02/2005,3477194416,usman.butt221@hostel.edu.pk,,
22,Sumera Butt,Male,27/10/2003,3291701771,sumera.butt222@hostel.edu.pk,,
23,Mehwish Ahmed,Male,05/01/2003,3165186414,mehwish.ahmed223@hostel.edu.pk,,
24,Raza Raza,Male,23/07/2003,3204971793,raza.raza224@hostel.edu.pk,,
25,Hina Hussain,Male,12/04/1999,3366573147,hina.hussain225@hostel.edu.pk,,
26,Sara Rana,Male,14/10/2000,3127417985,sara.rana226@hostel.edu.pk,,
27,Saad Chaudhry,Female,28/03/2001,3296866294,saad.chaudhry227@hostel.edu.pk,,
28,Imran Chaudhry,Male,07/04/1999,3317685149,imran.chaudhry228@hostel.edu.pk,,
29,Amna Ali,Female,03/09/2007,3426891254,amna.ali229@hostel.edu.pk,,
30,Sobia Raza,Male,18/09/2002,3262935113,sobia.raza230@hostel.edu.pk,,
31,Hina Iqbal,Male,23/12/2001,3482818692,hina.iqbal231@hostel.edu.pk,,
32,Asma Ansari,Female,04/03/2007,3488321474,asma.ansari232@hostel.edu.pk,,
33,Adnan Malik,Male,27/04/2003,3125273534,adnan.malik233@hostel.edu.pk,,
34,Asma Khan,Male,30/10/2004,3377110622,asma.khan234@hostel.edu.pk,,
35,Usman Qureshi,Female,27/12/2005,3293090865,usman.qureshi235@hostel.edu.pk,,
36,Adnan Mirza,Female,24/06/2006,3356472441,adnan.mirza236@hostel.edu.pk,,
37,Hamza Raza,Male,05/06/2000,3348053918,hamza.raza237@hostel.edu.pk,,
38,Hina Nawaz,Female,20/05/2005,3457812810,hina.nawaz238@hostel.edu.pk,,
39,Ahmed Mirza,Male,21/03/2002,3478212326,ahmed.mirza239@hostel.edu.pk,,
40,Babar Qureshi,Female,19/03/2004,3238418210,babar.qureshi240@hostel.edu.pk,,
41,Adnan Javed,Male,26/11/2007,3282422633,adnan.javed241@hostel.edu.pk,,
42,Adnan Nawaz,Male,04/10/2002,3294940441,adnan.nawaz242@hostel.edu.pk,,
43,Imran Siddiqui,Male,26/08/2000,3251775337,imran.siddiqui243@hostel.edu.pk,,
44,Saad Nawaz,Male,14/08/2007,3368640615,saad.nawaz244@hostel.edu.pk,,
45,Aamir Siddiqui,Female,21/01/2007,3359294272,aamir.siddiqui245@hostel.edu.pk,,
46,Sara Butt,Male,11/05/2006,3372788238,sara.butt246@hostel.edu.pk,,
47,Imran Sheikh,Female,21/10/2006,3451842524,imran.sheikh247@hostel.edu.pk,,
48,Sara Malik,Male,13/02/2004,3438795419,sara.malik248@hostel.edu.pk,,
49,Sumera Nawaz,Female,23/07/2002,3379468772,sumera.nawaz249@hostel.edu.pk,,
50,Sumera Baig,Female,13/10/2000,3268550917,sumera.baig250@hostel.edu.pk,,
51,Sara Rana,Female,03/08/2007,3275013879,sara.rana251@hostel.edu.pk,,
52,Waqar Ali,Female,01/01/2007,3274934149,waqar.ali252@hostel.edu.pk,,
53,Alishba Qureshi,Male,21/01/2005,3193321531,alishba.qureshi253@hostel.edu.pk,,
54,Imran Rizvi,Male,13/10/2006,3144589533,imran.rizvi254@hostel.edu.pk,,
55,Kamran Hussain,Female,17/09/2002,3137975534,kamran.hussain255@hostel.edu.pk,,
56,Nadia Hussain,Male,15/05/2003,3407381734,nadia.hussain256@hostel.edu.pk,,
57,Ahmed Ansari,Female,08/05/2002,3448030010,ahmed.ansari257@hostel.edu.pk,,
58,Naveed Nawaz,Female,22/06/2001,3274681284,naveed.nawaz258@hostel.edu.pk,,
59,Asma Javed,Female,29/04/1999,3356639317,asma.javed259@hostel.edu.pk,,
60,Omar Baig,Male,06/06/2000,3477610562,omar.baig260@hostel.edu.pk,,
61,Aamir Khan,Female,10/12/1999,3393276659,aamir.khan261@hostel.edu.pk,,
62,Hina Ahmed,Female,01/12/2001,3236492066,hina.ahmed262@hostel.edu.pk,,
63,Layla Qureshi,Female,14/10/2002,3365668371,layla.qureshi263@hostel.edu.pk,,
64,Faisal Ali,Male,10/04/2004,3321873851,faisal.ali264@hostel.edu.pk,,
65,Imran Ali,Male,05/10/2007,3251520596,imran.ali265@hostel.edu.pk,,
66,Tariq Khan,Male,19/12/2005,3185002120,tariq.khan266@hostel.edu.pk,,
67,Saad Malik,Male,29/04/2005,3268801975,saad.malik267@hostel.edu.pk,,
68,Mehwish Sheikh,Male,17/10/2005,3293747534,mehwish.sheikh268@hostel.edu.pk,,
69,Hassan Iqbal,Female,16/04/1999,3357296605,hassan.iqbal269@hostel.edu.pk,,
70,Tariq Ali,Male,22/08/2005,3292709620,tariq.ali270@hostel.edu.pk,,
71,Babar Malik,Male,06/12/2007,3446825112,babar.malik271@hostel.edu.pk,,
72,Asma Ansari,Female,10/10/1999,3361212267,asma.ansari272@hostel.edu.pk,,
73,Hira Malik,Female,11/11/2003,3198713146,hira.malik273@hostel.edu.pk,,
74,Asma Sheikh,Female,25/03/2007,3399111742,asma.sheikh274@hostel.edu.pk,,
75,Asma Iqbal,Female,04/01/2002,3155118725,asma.iqbal275@hostel.edu.pk,,
76,Amna Baig,Female,25/09/2001,3317358385,amna.baig276@hostel.edu.pk,,
77,Zara Javed,Male,24/08/2002,3239179730,zara.javed277@hostel.edu.pk,,
78,Raza Rana,Female,26/10/2002,3455635017,raza.rana278@hostel.edu.pk,,
79,Ahmed Bhatti,Male,21/02/2001,3365049282,ahmed.bhatti279@hostel.edu.pk,,
80,Hira Raza,Male,03/07/2007,3418987516,hira.raza280@hostel.edu.pk,,
81,Waqar Khan,Female,17/01/2000,3354717770,waqar.khan281@hostel.edu.pk,,
82,Sara Mirza,Female,12/06/2006,3458939993,sara.mirza282@hostel.edu.pk,,
83,Zainab Ansari,Female,09/10/2003,3396902401,zainab.ansari283@hostel.edu.pk,,
84,Amna Mirza,Male,26/10/2001,3223024269,amna.mirza284@hostel.edu.pk,,
85,Kashaf Malik,Male,01/05/2007,3234213524,kashaf.malik285@hostel.edu.pk,,
86,Saad Rana,Female,15/02/2007,3222686548,saad.rana286@hostel.edu.pk,,
87,Hamza Chaudhry,Male,18/01/2003,3106071208,hamza.chaudhry287@hostel.edu.pk,,
88,Naveed Butt,Male,28/01/2002,3451914794,naveed.butt288@hostel.edu.pk,,
89,Hamza Butt,Female,25/02/2006,3102721135,hamza.butt289@hostel.edu.pk,,
90,Aamir Mirza,Female,06/04/2004,3318389840,aamir.mirza290@hostel.edu.pk,,
91,Hina Ahmed,Female,31/10/2001,3142914064,hina.ahmed291@hostel.edu.pk,,
92,Sobia Javed,Male,31/10/1999,3193545556,sobia.javed292@hostel.edu.pk,,
93,Aamir Mirza,Male,15/12/1999,3452987287,aamir.mirza293@hostel.edu.pk,,
94,Kamran Nawaz,Male,07/09/2005,3349767312,kamran.nawaz294@hostel.edu.pk,,
95,Waqar Baig,Female,02/05/2002,3466123430,waqar.baig295@hostel.edu.pk,,
96,Shazia Ahmed,Male,02/11/2005,3234486102,shazia.ahmed296@hostel.edu.pk,,
97,Faisal Ali,Male,05/10/2000,3453916107,faisal.ali297@hostel.edu.pk,,
98,Usman Sheikh,Female,11/01/1999,3488558197,usman.sheikh298@hostel.edu.pk,,
99,Saad Mirza,Male,14/05/1999,3285833597,saad.mirza299@hostel.edu.pk,,
100,Layla Ali,Male,16/09/2006,3475438490,layla.ali300@hostel.edu.pk,,
